,title,Author,Book_Audio_Length
1113,From Zero to Foundr Podcast,,
1114,Real Estate Strategies with Ken McElroy,,
1115,The MBA Jam,,
1116,"Leaders of B2B - Interviews on B2B Leadership, Tech, SaaS, Revenue, Sales, Marketing and Growth",,
1117,Ponzi Scream,,
1118,PwC's accounting podcast,,
1119,Inside the War Room: Case Studies in Crisis,,
1120,Journaling Habit,,
1121,The Insurance Matters Podcast,,
1122,Behind the Cloud: A Salesforce Architect?? Podcast Mini-Series,,
1123,The Trailblazer?? Guide to Careers by Salesforce,,
1124,The Swap,,
1125,Thinclab Growth Mindset Podcast,,
1126,Entfessle Dein Leben!,,
1127,My JavaScript Story,,
1128,Japan's Top Business Interviews Podcast By Dale Carnegie Training Tokyo Japan,,
1129,Ask an Engineering Manager,,
1130,The Art of Communication,,
1131,Google Ads Strategy with Kyle Sulerud,,
1132,Two Scrums Up,,
1133,Product Management: The Journey 0 - 1 - 100,,
1134,Talk with Ted - A Show About Nothing,,
1135,"Communication Charm - Influence, Negotiation, Presence, Charisma",,
1136,Blazing Business Trails,,
1137,Adventures in Business,,
1138,Rocket Roof Show,,
1139,eCommerce Fastlane ?·The Shopify Podcast To Grow Your Ecommerce Business,,
1140,B2B Sales and Negotiation Wisdom,,
1141,Life Insurance Academy Podcast,,
1142,MIT Supply Chain Frontiers,,
1143,Inside Fashion Marketing by Zalando Marketing Services,,
1144,JavaScript Jabber,,
1145,Anesthesia Patient Safety Podcast,,
1146,?????????·?????????????·,,https://m.media-amazon.com/images/I/418d3ewI1WS._SL500_.jpg
1147,Make It Happen: Secrets To Go From Stuck To Unstoppable Without Changing Who You Are Even if No One Believes In You Or Stand By You,,
1148,Ethical Voices Podcast: Real Ethics Stories from Real PR Pros,,
1149,Master Your Next Move,Michael D. Watkins,Length: 6 hrs and 8 mins
1150,The Samsung Way,Jaeyong Song,Length: 8 hrs and 45 mins
1151,The Forever Transaction,Robbie Kellman Baxter,Length: 6 hrs and 16 mins
1152,The Heart of Business,Hubert Joly,Length: 7 hrs and 16 mins
1153,The Future of Work,Jacob Morgan,Length: 7 hrs and 38 mins
1154,Building and Managing High-Performance Distributed Teams,Alberto S. Silveira Jr.,Length: 9 hrs and 42 mins
1155,Leading with Empathy,Gautham Pallapa,Length: 9 hrs and 51 mins
1156,The Five Graces of Life and Leadership,Gary Burnison,Length: 1 hr and 19 mins
1157,Redesigning Work,Lynda Gratton,Length: 8 hrs and 56 mins
1158,The Ultimate Gift,Jim Stovall,Length: 2 hrs and 35 mins
1159,Everybody Matters,Bob Chapman,Length: 8 hrs and 50 mins
1160,Warren Buffett,Robert G. Hagstrom,Length: 9 hrs and 50 mins
1161,Fearless Leadership,Loretta Malandro,Length: 10 hrs and 38 mins
1162,The Toyota Way to Service Excellence,Jeffrey K. Liker,Length: 15 hrs and 41 mins
1163,Retail Arbitrage,Mark Graham,Length: 5 hrs and 16 mins
1164,The Three Secrets to Effective Time Investment,Elizabeth Grace Saunders,Length: 9 hrs and 5 mins
1165,Growth in the Age of Complexity,Andrei Perumal,Length: 7 hrs and 27 mins
1166,Provoke,Geoff Tuff,Length: 7 hrs and 3 mins
1167,Sonho grande [Dream Big],Cristiane Correa,Length: 8 hrs and 18 mins
1168,Never Enough,Mike Hayes,Length: 6 hrs and 57 mins
1169,Creative Conflict,Bill Sanders,Length: 8 hrs and 9 mins
1170,Planning a Profitable Business for Dummies (Australian Edition),Veechi Curtis MBA,Length: 6 hrs and 21 mins
1171,V?? em frente [Get Over Your Damn Self],Romi Neustadt,Length: 6 hrs and 45 mins
1172,"Naked, Short and Greedy",Susanne Trimbath,Length: 5 hrs and 45 mins
1173,More Important Than Money,Robert T. Kiyosaki,Length: 11 hrs and 25 mins
1174,What Your Customer Wants and Can?? Tell You,Melina Palmer,Length: 8 hrs and 12 mins
1175,Press Reset,Jason Schreier,Length: 8 hrs and 14 mins
1176,Cyber Security Interviews,,
1177,Market Research Like a Pro,Pooja Agnihotri,Length: 48 mins
1178,The Emergence of Charismatic Business Leadership,Richard S. Tedlow,Length: 11 hrs and 25 mins
1179,Data Means Business,Jason Foster,Length: 4 hrs and 44 mins
1180,How to Start a Side Hustle,Kaylene Langford,Length: 2 hrs and 53 mins
1181,Wallet Activism,Tanja Hester,Length: 9 hrs and 8 mins
1182,How to Make Inclusive Decisions as a Team,Piper Anderson,Length: 39 mins
1183,The Business Survival Kit,Bianca Miller-Cole,Length: 8 hrs and 2 mins
1184,Boundless Leadership,Joe Loizzo,Length: 9 hrs and 54 mins
1185,Growing Physician Leaders,Mark Hertling DBA,Length: 6 hrs and 33 mins
1186,Unsettled,Ryan Hampton,Length: 12 hrs and 2 mins
1187,How to Land Your Dream Job,Ben Carlos,Length: 17 mins
1188,A Practical Handbook for the Actor,Melissa Bruder,Length: 2 hrs and 7 mins
1189,"The Big Book of HR, 10th Anniversary Edition",Barbara Mitchell,Length: 12 hrs and 36 mins
1190,Kindle???·??????????????????????·???????2??????1??r????????·?????????????k????????v%?????????·?????????????··??F??·??K.K.,,https://www.audible.in/pd/Kindle3-Audiobook/B09TDF89F6
1191,"Running Lean, 2nd Edition",Ash Maurya,Length: 5 hrs and 40 mins
1192,Million Dollar Habits,Brian Tracy,Length: 8 hrs and 3 mins
1193,Opto Sessions: Stock market | Investing | Trading | Stocks & Shares | Finance | Business | Entrepreneurship | ETF,,
1194,?·??·??·????????j???,???·???·???? ????,https://m.media-amazon.com/images/I/51-fTaSSlGL._SL500_.jpg
1195,Competing Against Free (Harvard Business Review),David J. Bryce,Length: 18 mins
1196,"Sun Tzu 4 Small Business | Strategy and Tactics, Technology and Leadership, Management and Marketing for Small Business Owners",,
1197,The Customer-Funded Business,John Mullins PhD,Length: 7 hrs and 37 mins
1198,"How to Talk to Anyone, Anytime, Anywhere",Larry King,Length: 1 hr and 20 mins
1199,The Z Factor,Subhash Chandra,Length: 8 hrs and 29 mins
