,title,Author,Book_Audio_Length
177,The Coaching Habit,Michael Bungay Stanier,Length: 3 hrs and 3 mins
178,Amp It Up,Frank Slootman,Length: 5 hrs and 35 mins
179,Imaginable,Jane McGonigal,Length: 16 hrs and 30 mins
180,Apne Bheetar Chhupe Leader ko Kaise Jagayein [Developing the Leader Within You],John C. Maxwell,Length: 8 hrs and 51 mins
181,Million Dollar Habits,Brian Tracy,Length: 7 hrs and 6 mins
182,Competitive Strategy,Michael E. Porter,Length: 15 hrs and 31 mins
183,Developing the Leader Within You 2.0,John C. Maxwell,Length: 7 hrs and 44 mins
184,Expert Secrets,Russell Brunson,Length: 6 hrs and 26 mins
185,Chanakya's 7 Secrets of Leadership,D. Sivanandhan,Length: 7 hrs and 23 mins
186,Nudge: The Final Edition,Richard H. Thaler,Length: 11 hrs and 33 mins
187,Kautilya Arthshastra (Hindi Edition),Chanakya,Length: 6 hrs
188,HBR's 10 Must Reads: The Essentials,Peter Ferdinand Drucker,Length: 9 hrs and 48 mins
189,Personality Isn't Permanent,Benjamin Hardy,Length: 7 hrs and 16 mins
190,NLP: The Essential Guide to Neuro-Linguistic Programming,Tom Dotz,Length: 11 hrs and 14 mins
191,The Happiness Advantage,Shawn Achor,Length: 7 hrs and 20 mins
192,Harsh Realities,Harsh Mariwala,Length: 8 hrs and 49 mins
193,Start-Up Nation,Dan Senor,Length: 8 hrs and 24 mins
194,The Digital Transformation Playbook,David L. Rogers,Length: 9 hrs and 57 mins
195,Scaling Up,Verne Harnish,Length: 8 hrs and 49 mins
196,Site Reliability Engineering,Betsy Beyer,Length: 20 hrs and 8 mins
197,How Brands Grow,Byron Sharp,Length: 6 hrs and 34 mins
198,"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive",Kevin Horsley,Length: 2 hrs and 28 mins
199,Scrum,Jeff Sutherland,Length: 6 hrs and 43 mins
200,HBR?? 10 Must Reads on Emotional Intelligence,Harvard Business Review,Length: 5 hrs and 29 mins
201,Thinking in Systems,Donella H. Meadows,Length: 6 hrs and 26 mins
202,Sprint,Jake Knapp,Length: 6 hrs and 9 mins
203,13 Things Mentally Strong People Don't Do,Amy Morin,Length: 6 hrs and 36 mins
204,Big Data: How Data Analytics Is Transforming the World,Tim Chartier,Length: 12 hrs and 41 mins
205,The Cold Start Problem,Andrew Chen,Length: 10 hrs and 28 mins
206,12 Months to $1 Million,Ryan Daniel Moran,Length: 7 hrs and 38 mins
207,Masters of Scale,Reid Hoffman,Length: 9 hrs and 52 mins
208,Switch,Chip Heath,Length: 7 hrs and 43 mins
209,Habit of Winning,Prakash Iyer,Length: 5 hrs and 21 mins
210,Traction,Gino Wickman,Length: 6 hrs and 56 mins
211,How to Win Friends and Influence People,Dale Carnegie,Length: 6 hrs and 58 mins
212,Sales Revelation,Brian Tracy,Length: 11 hrs and 56 mins
213,The Law of Success,Napoleon Hill,Length: 24 hrs and 19 mins
214,Hard Times Create Strong Men,Stefan Aarnio,Length: 16 hrs and 13 mins
215,The Rise and Fall of American Growth,Robert J. Gordon,Length: 30 hrs and 14 mins
216,Profit First,Mike Michalowicz,Length: 8 hrs and 35 mins
217,HBR's 10 Must Reads on Managing People,W. Chan Kim,Length: 8 hrs and 7 mins
218,Fanatical Prospecting,Jeb Blount,Length: 8 hrs and 21 mins
219,Blockchain Revolution,Don Tapscott,Length: 17 hrs and 53 mins
220,The Art of War,Sun Tzu,Length: 1 hr and 7 mins
221,"Change by Design, Revised and Updated",Tim Brown,Length: 7 hrs and 37 mins
222,Barking up the Wrong Tree,Eric Barker,Length: 9 hrs
223,Eat That Frog!,Brian Tracy,Length: 2 hrs and 37 mins
224,Public Speaking for Success,Dale Carnegie,Length: 15 hrs and 28 mins
225,The Four,Scott Galloway,Length: 8 hrs and 32 mins
226,Secrets to Winning at Office Politics,Marie G. McIntyre PhD,Length: 9 hrs and 10 mins
227,Product Management in Practice,Matt LeMay,Length: 5 hrs and 16 mins
228,HBR's 10 Must Reads on Leadership,Harvard Business Review,Length: 6 hrs and 18 mins
229,Think Like a Rocket Scientist,Ozan Varol,Length: 10 hrs and 44 mins
230,PMP Exam Master Prep,Scott Payne,Length: 15 hrs and 34 mins
231,Articulating Design Decisions,Tom Greever,Length: 6 hrs and 56 mins
232,Secrets of Closing the Sale,Zig Ziglar,Length: 15 hrs and 14 mins
233,The Greatest Salesman in the World,Og Mandino,Length: 2 hrs and 33 mins
234,Die Empty,Todd Henry,Length: 5 hrs and 30 mins
235,The Third Door,Alex Banayan,Length: 8 hrs and 42 mins
236,To Sell Is Human,Daniel H. Pink,Length: 6 hrs and 6 mins
237,David and Goliath,Malcolm Gladwell,Length: 7 hrs
238,The Future of Money,Eswar S. Prasad,Length: 19 hrs and 46 mins
239,The E-Myth Revisited,Michael E. Gerber,Length: 8 hrs and 5 mins
240,"Crucial Conversations, Second Edition",Kerry Patterson,Length: 6 hrs and 27 mins
241,Negotiation Genius,Deepak Malhotra,Length: 11 hrs and 58 mins
242,The Art of Public Speaking,Dale Carnegie,Length: 4 hrs and 36 mins
243,The Real Book of Real Estate,Robert T. Kiyosaki,Length: 17 hrs and 53 mins
244,Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,Length: 11 hrs and 40 mins
245,Soundtracks,Jon Acuff,Length: 5 hrs and 14 mins
246,Charlie Munger,Tren Griffin,Length: 6 hrs and 21 mins
247,How to Decide,Annie Duke,Length: 6 hrs and 39 mins
248,The Manager's Path,Camille Fournier,Length: 10 hrs and 7 mins
249,Why Nations Fail,Daron Acemoglu,Length: 17 hrs and 55 mins
250,Tribe of Mentors,Tim Ferriss,Length: 18 hrs and 43 mins
251,Good Leaders Ask Great Questions,John C. Maxwell,Length: 8 hrs and 17 mins
